,ClauseID,Doc,SentID,SentForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim,AgPres,,,,,,,,,,,
1617,1618,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,62,"It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups, such as the Harkat-ul-Jehad-al-Islami, in the port city of Chittagong, and put a number of secessionist rebels from India's northeast in touch with this terrorist network.",V,acknowledged,acknowledge,VBN,Part,Pres,Simple,Pass,3,1.45E-05,/,/,is,be,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1618,1619,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,62,"It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups, such as the Harkat-ul-Jehad-al-Islami, in the port city of Chittagong, and put a number of secessionist rebels from India's northeast in touch with this terrorist network.",V,nurtured,nurture,VBN,Part,Pres,Perf,Act,2,1.26E-06,/,/,has,/,the Pakistani ISI,/,/,ISI,1.23E-06,def,Sing,3,/,proper,7,NNP,8,"a number of extremist Islamist groups , such as the Harkat - ul - Jehad - al - Islami , in the port city of Chittagong",0,/,0.000437,number,indef,Sing,3,conc,32,NN,full,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1619,1620,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,62,"It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups, such as the Harkat-ul-Jehad-al-Islami, in the port city of Chittagong, and put a number of secessionist rebels from India's northeast in touch with this terrorist network.",V,put,put,VBN,Part,Tenseless,Simple,Act,1,0.000447,/,/,/,/,the Pakistani ISI,/,/,ISI,1.23E-06,def,Sing,3,/,proper,7,NNP,8,a number of secessionist rebels from India 's northeast,0,/,0.000437,number,indef,Sing,3,conc,17,NN,full,41,in touch with this terrorist network,in,touch,7.59E-05,indef,Sing,3,nonconc,9,NN,full,50,/,/,,,,,,,,,,,,,,,,,
1620,1621,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,63,"As a result, north of the Andaman Islands, Bangladeshi coastal areas have become a nest of terrorists involved in the shipment of drugs and arms.",V,become,become,VBN,Part,Pres,Perf,Act,2,0.000263,/,/,have,/,Bangladeshi coastal areas,/,/,areas,0.000141,indef,Plur,3,loc,full,9,NNS,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1621,1622,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,64,"A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos, Cambodia and Thailand into Chittagong, from where they are transported northward by land to Bhutan.",V,indicate,indicate,VBP,Fin,Pres,Simple,Act,3,3.02E-05,/,/,/,/,A pattern of arrests and seizures,/,/,pattern,3.24E-05,indef,Sing,3,loc,full,9,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1622,1623,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,64,"A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos, Cambodia and Thailand into Chittagong, from where they are transported northward by land to Bhutan.",V,brought,bring,VBN,Part,Pres,Simple,Pass,1,0.000148,/,/,are,be,arms,/,/,arms,6.76E-05,indef,Plur,3,org,full,1,NNS,9,/,0,/,/,/,/,/,/,/,/,/,/,/,by the LTTE,by,LTTE,5.75E-07,def,Sing,3,/,2,NNP,proper,14,/,/,,,,,,,,,,,,,,,,,
1623,1624,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,64,"A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos, Cambodia and Thailand into Chittagong, from where they are transported northward by land to Bhutan.",V,transported,transport,VBN,Part,Pres,Simple,Pass,3,8.51E-06,/,/,are,be,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,26,/,0,/,/,/,/,/,/,/,/,/,/,/,from where,from,where,0.00102,indef,/,3,/,2,WRB,NMN!,25,/,/,,,,,,,,,,,,,,,,,
1624,1625,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,65,"The route from Kalikhola in Bhutan to Cox's Bazar passes through northern Bengal, Assam and Meghalaya, and on into Chittagong.",V,passes,pass,VBZ,Fin,Pres,Simple,Act,2,2.69E-05,/,/,/,/,The route from Kalikhola in Bhutan to Cox 's Bazar,/,/,route,5.01E-05,def,Sing,3,loc,full,15,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,"through northern Bengal , Assam and Meghalaya , and on into Chittagong",through;;through;;through;;into,Bengal;;Assam;;Meghalaya;;Chittagong,4.27e-06;;1.32e-06;;1.15e-07;;3.02e-07,def;;def;;def;;def,Plur,3,/;;/;;/;;/,19,NNP;;NNP;;NNP;;NNP,proper;;proper;;proper;;proper,14;;16;;18;;23,/,/,,,,,,,,,,,,,,,,,
1625,1626,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,67,"India's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal.",V,comprise,comprise,VBP,Fin,Pres,Simple,Act,2,4.07E-06,/,/,/,/,India 's Andaman and Nicobar Islands,/,/,Islands,3.47E-05,indef,Plur,3,/,proper,11,NNPS,6,"more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal",0,/,3.47E-05,islands,indef,Plur,3,loc,21,NNS,full,11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1626,1627,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,67,"India's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal.",V,lying,lie,VBG,Ger,Tenseless,Simple,Act,2,4.07E-05,/,/,/,/,more than 500 islands,/,/,islands,3.47E-05,indef,Plur,3,loc,full,5,NNS,11,/,0,/,/,/,/,/,/,/,/,/,/,/,in the Bay of Bengal,in,Bay,5.01E-05,def,Sing,3,/,6,NNP,proper,21,/,/,,,,,,,,,,,,,,,,,
1627,1628,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,68,"Stretching 750 kilometers from end to end, they reach from near the coast of Myanmar almost to Sumatra in Indonesia.",V,Stretching,stretch,VBG,Ger,Tenseless,Simple,Act,2,7.08E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,750 kilometers,0,/,8.71E-06,kilometers,indef,Plur,3,nonconc,4,NNS,full,3,from end,from,end,0.00049,indef,Sing,3,human,2,NN,full,5,/,/,India 's Andaman and Nicobar Islands ,def,Sing,3,conc,,,,,,,,,,,,
1628,1629,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,68,"Stretching 750 kilometers from end to end, they reach from near the coast of Myanmar almost to Sumatra in Indonesia.",V,reach,reach,VBP,Fin,Pres,Simple,Act,1,8.91E-05,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,9,/,0,/,/,/,/,/,/,/,/,/,/,/,from near the coast of Myanmar,from,coast,7.76E-05,def,Sing,3,conc,7,NN,full,14,/,/,,,,,,,,,,,,,,,,,
1629,1630,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,69,"The Ten Degree Channel divides the Andamans, which are the larger and more heavily populated northern islands, from the 20 or so Nicobar Islands in the south.",V,divides,divide,VBZ,Fin,Pres,Simple,Act,2,2.95E-06,/,/,/,/,The Ten Degree Channel,/,/,Channel,6.31E-05,def,Sing,3,/,proper,6,NNP,4,"the Andamans , which are the larger and more heavily populated northern islands",0,/,4.47E-08,Andamans,def,Plur,3,/,24,NNPS,proper,7,from the 20 or so Nicobar Islands in the south,from,Islands,3.47E-05,def,Plur,3,/,12,NNPS,proper,26,/,/,,,,,,,,,,,,,,,,,
1630,1631,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,69,"The Ten Degree Channel divides the Andamans, which are the larger and more heavily populated northern islands, from the 20 or so Nicobar Islands in the south.",V,populated,populate,VBN,Part,Tenseless,Simple,Act,4,6.46E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1631,1632,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,69,"The Ten Degree Channel divides the Andamans, which are the larger and more heavily populated northern islands, from the 20 or so Nicobar Islands in the south.",N,islands,island,NNS,/,Tenseless,Simple,Act,2,3.47E-05,/,/,/,/,which,"the Andamans , which are the larger and more heavily populated northern islands",/,which,0.00219,def,Plur,3,/,wh,1,WDT,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1632,1633,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,70,"On South Andaman, the most heavily populated island, is Port Blair, which is the capital and the only large town in the entire archipelago.",V,populated,populate,VBN,Part,Tenseless,Simple,Act,4,6.46E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1633,1634,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,70,"On South Andaman, the most heavily populated island, is Port Blair, which is the capital and the only large town in the entire archipelago.",N,Blair,Blair,NNP,/,Tenseless,Simple,Act,1,9.33E-06,/,/,/,/,the most heavily populated island,/,/,island,0.000107,def,Sing,3,loc,full,11,NN,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1634,1635,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,70,"On South Andaman, the most heavily populated island, is Port Blair, which is the capital and the only large town in the entire archipelago.",N,capital,capital,NN,/,Tenseless,Simple,Act,3,0.000126,/,/,/,/,which,"On South Andaman , the most heavily populated island , is Port Blair , which is the capital and the only large town in the entire archipelago .",/,which,0.00219,def,Sing,3,/,wh,1,WDT,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1635,1636,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,71,"Travel to the Nicobar Islands is forbidden to non-Indians, and they are also not allowed in some parts of South Andaman Island.",A,forbidden,forbidden,JJ,/,Tenseless,Simple,Act,3,1.05E-05,/,/,/,/,Travel to the Nicobar Islands,/,/,Travel,9.12E-05,indef,Sing,3,nonconc,full,9,NN,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1636,1637,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,71,"Travel to the Nicobar Islands is forbidden to non-Indians, and they are also not allowed in some parts of South Andaman Island.",V,allowed,allow,VBN,Part,Pres,Simple,Pass,2,0.000112,/,/,are,be,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,12,/,0,/,/,/,/,/,/,/,/,/,/,/,in some parts of South Andaman Island,in,parts,0.00012,indef,Plur,3,loc,11,NNS,full,19,/,/,,,,,,,,,,,,,,,,,
1637,1638,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,72,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington-based EIR and the New Delhi-based Indian Defense Review.,V,writes,write,VBZ,Fin,Pres,Simple,Act,1,2.19E-05,/,/,/,/,Ramtanu Maitra,/,/,Ramtanu,0,def,Sing,3,/,proper,5,NNP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,for a number of international journals,for,number,0.000437,indef,Sing,3,conc,12,NN,full,6,/,/,,,,,,,,,,,,,,,,,
1638,1639,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,72,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington-based EIR and the New Delhi-based Indian Defense Review.,N,contributor,contributor,NN,/,Tenseless,Simple,Act,4,5.13E-06,/,/,/,/,Ramtanu Maitra,/,/,Ramtanu,0,def,Sing,3,/,proper,5,NNP,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1639,1640,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,72,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington-based EIR and the New Delhi-based Indian Defense Review.,V,based,base,VBN,Part,Tenseless,Simple,Act,1,0.000324,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,Washington,/,Washington,0.0001,def,Sing,3,/,3,NNP,proper,17,/,/,,,,,,,,,,,,,,,,,
1640,1641,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,72,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington-based EIR and the New Delhi-based Indian Defense Review.,V,based,base,VBN,Part,Tenseless,Simple,Act,1,0.000324,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1641,1642,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,73,"He also writes for Aakrosh, India's defense-tied quarterly journal.",V,writes,write,VBZ,Fin,Pres,Simple,Act,1,2.19E-05,/,/,/,/,He,/,/,He,0.0049,def,Sing,3,human,pron,1,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,"for Aakrosh , India 's defense - tied quarterly journal",for,Aakrosh,0,def,Sing,3,/,14,NNP,proper,5,/,/,,,,,,,,,,,,,,,,,
1642,1643,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134,73,"He also writes for Aakrosh, India's defense-tied quarterly journal.",V,tied,tie,VBN,Part,Tenseless,Simple,Act,1,2.82E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,defense,/,defense,7.08E-05,indef,Sing,3,org,2,NN,full,9,/,/,,,,,,,,,,,,,,,,,
1643,1644,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,0,[ Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan.,V,has,have,VBZ,Fin,Pres,Simple,Act,1,0.00234,/,/,/,/,Karzai,/,/,Karzai,5.37E-07,def,Sing,3,/,proper,2,NNP,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1644,1645,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,0,[ Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan.,V,deal,deal,VB,Inf,Tenseless,Simple,Act,1,0.000195,/,/,/,/,Karzai,/,/,Karzai,5.37E-07,def,Sing,3,/,proper,2,NNP,2,/,0,/,/,/,/,/,/,/,/,/,/,/,with the stepped up rivalry between India and Pakistan in Afghanistan,with,rivalry,6.31E-06,def,Sing,3,nonconc,21,NN,full,11,/,/,,,,,,,,,,,,,,,,,
1645,1646,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,0,[ Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan.,V,stepped up,step up,VBN,Part,Tenseless,Simple,Act,1,1.40E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1646,1647,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,1,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan.,V,accuses,accuse,VBZ,Fin,Pres,Simple,Act,3,2.04E-06,/,/,/,/,Islamabad,/,/,Islamabad,1.58E-06,def,Sing,3,/,proper,4,NNP,1,New Delhi,0,/,1.48E-05,Delhi,def,Sing,3,/,3,NNP,proper,4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1647,1648,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,1,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan.,V,using,use,VBG,Ger,Tenseless,Simple,Act,2,0.000295,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,its consulates in Kandahar and Jalalabad,0,/,6.17E-07,consulates,indef,Plur,3,conc,13,NNS,full,8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1648,1649,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,1,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan.,V,train,train,VB,Inf,Tenseless,Simple,Act,1,9.77E-05,/,/,/,/,its consulates in Kandahar and Jalalabad,/,/,consulates,6.17E-07,indef,Plur,3,conc,full,13,NNS,8,Balochi insurgents who are active in Pakistani Balochistan,0,/,2.95E-06,insurgents,indef,Plur,3,human,21,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1649,1650,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,1,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan.,A,active,active,JJ,/,Tenseless,Simple,Act,2,8.71E-05,/,/,/,/,who,Balochi insurgents who are active in Pakistani Balochistan,/,who,0.00224,def,Plur,3,human,wh,1,WP,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1650,1651,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,2,Pakistani officials claim there are as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad.,V,claim,claim,VBP,Fin,Pres,Simple,Act,1,8.71E-05,/,/,/,/,Pakistani officials,/,/,officials,4.90E-05,indef,Plur,3,human,full,7,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1651,1652,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,2,Pakistani officials claim there are as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad.,V,are,be,VBP,Fin,Pres,Simple,Act,1,0.0055,/,/,/,/,as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad,/,/,agents;;12,3.63e-05;;0.00724,indef;;indef,Plur,3,human;;nonconc,full;;num,22,NNS;;CD,11;;17,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1652,1653,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,2,Pakistani officials claim there are as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad.,V,based,base,VBN,Part,Tenseless,Simple,Act,1,0.000324,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,in Kandahar,in,Kandahar,1.07E-06,def,Sing,3,/,4,NNP,proper,14,/,/,,,,,,,,,,,,,,,,,
1653,1654,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,3,"?�There have no business being there unless they are undermining Pakistan,?��?says a Pakistani official.",V,have,have,VBP,Fin,Pres,Simple,Act,1,0.00501,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,no business,0,/,0.000339,business,indef,Sing,3,org,3,NN,full,5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1654,1655,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,3,"?�There have no business being there unless they are undermining Pakistan,?��?says a Pakistani official.",V,undermining,undermine,VBG,Part,Pres,Simple,Act,4,2.14E-06,/,/,are,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,9,Pakistan,0,/,3.02E-05,Pakistan,def,Sing,3,/,3,NNP,proper,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1655,1656,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,3,"?�There have no business being there unless they are undermining Pakistan,?��?says a Pakistani official.",V,says,say,VBZ,Fin,Pres,Simple,Act,1,0.000282,/,/,/,/,a Pakistani official,/,/,official,0.000162,indef,Sing,3,human,full,8,NN,18,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1656,1657,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,4,Both India and Afghanistan deny the claim.,V,deny,deny,VBP,Fin,Pres,Simple,Act,2,2.24E-05,/,/,/,/,Both India and Afghanistan,/,/,India;;Afghanistan,9.12e-05;;2.04e-05,def;;def,Plur,3,/;;/,proper;;proper,9,NNP;;NNP,2;;4,the claim,0,/,8.71E-05,claim,def,Sing,3,nonconc,2,NN,full,7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1657,1658,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,5,"?�’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,??says Amrullah Saleh the head of Afghanistan?�s National Security Directorate. ]",V,show,show,VB,Inf,Tenseless,Simple,Act,1,0.000437,/,/,Should,/,Pakistan,/,/,Pakistan,3.02E-05,def,Sing,3,/,proper,3,NNP,3,us,1,/,0.00102,us,def,Plur,1,human,1.5,PRP,pron,5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1658,1659,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,5,"?�’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,??says Amrullah Saleh the head of Afghanistan?�s National Security Directorate. ]",V,using,use,VBG,Ger,Tenseless,Simple,Act,2,0.000295,/,/,/,/,of an Indian hand,/,/,hand,0.000251,indef,Sing,3,human,full,6,NN,11,Afghan soil,0,/,3.31E-05,soil,indef,Sing,3,loc,3,NN,full,14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1659,1660,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,5,"?�’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,??says Amrullah Saleh the head of Afghanistan?�s National Security Directorate. ]",V,work,work,VB,Inf,Tenseless,Simple,Act,1,0.000891,/,/,/,/,Afghan soil,/,/,soil,3.31E-05,indef,Sing,3,loc,full,3,NN,14,/,0,/,/,/,/,/,/,/,/,/,/,/,against our neighbours,against,neighbours,8.91E-06,indef,Plur,3,human,5,NNS,full,19,/,/,,,,,,,,,,,,,,,,,
1660,1661,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,5,"?�’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,??says Amrullah Saleh the head of Afghanistan?�s National Security Directorate. ]",V,take,take,VB,Inf,Fut,Simple,Act,1,0.000813,/,/,will,/,we,/,/,we,0.00316,def,Plur,1,human,pron,1,PRP,20,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1661,1662,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,5,"?�’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,??says Amrullah Saleh the head of Afghanistan?�s National Security Directorate. ]",V,says,say,VBZ,Fin,Pres,Simple,Act,1,0.000282,/,/,/,/,Amrullah Saleh the head of Afghanistan ?�s National Security Directorate,/,/,Amrullah,0,def,Sing,3,/,proper,23,NNP,29,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1662,1663,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,8,"For the past 25 years landlocked Afghanistan has suffered from constant interference from its neighbours - Pakistan, Iran and the Central Asian Republics - and regional powers -Russia and India.",V,suffered,suffer,VBN,Part,Pres,Perf,Act,2,3.55E-05,/,/,has,/,landlocked Afghanistan,/,/,Afghanistan,2.04E-05,def,Sing,3,/,proper,6,NNP,7,/,0,/,/,/,/,/,/,/,/,/,/,/,For the past 25 years,For,years,0.000912,def,Plur,3,nonconc,4,NNS,full,5,/,/,,,,,,,,,,,,,,,,,
1663,1664,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,9,"The neighbours are still interfering, but there are signs that rather than undermining Afghanistan?�s stability they may now be trying to strengthen it.",V,interfering,interfere,VBG,Part,Pres,Simple,Act,4,3.31E-06,/,/,are,/,The neighbours,/,/,neighbours,8.91E-06,def,Plur,3,human,full,3,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1664,1665,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,9,"The neighbours are still interfering, but there are signs that rather than undermining Afghanistan?�s stability they may now be trying to strengthen it.",V,are,be,VBP,Fin,Pres,Simple,Act,1,0.0055,/,/,/,/,signs that rather than undermining Afghanistan ?�s stability they may now be trying to strengthen it,/,/,signs,4.90E-05,indef,Plur,3,loc,full,26,NNS,10,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1665,1666,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,9,"The neighbours are still interfering, but there are signs that rather than undermining Afghanistan?�s stability they may now be trying to strengthen it.",V,undermining,undermine,VBG,Ger,Tenseless,Simple,Act,4,2.14E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Afghanistan ?�s stability,0,/,2.19E-05,stability,indef,Sing,3,nonconc,8,NN,full,17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
1666,1667,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002,9,"The neighbours are still interfering, but there are signs that rather than undermining Afghanistan?�s stability they may now be trying to strengthen it.",V,trying,try,VBG,Part,Tenseless,Simple,Act,1.5,0.000269,/,may,be,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,18,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
