X1,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10,X81,X82,X83,X84,X85,X86,X87,X88,X89,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim
1373,1373,1374,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,45,"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA.""","that on November 8th , 1982 , he had authorized a search of CIA records "" for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA",V,authorized,authorize,VBN,Part,Past,Perf,Act,3,1.32e-5,Fin,/,/,had,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,23,"a search of CIA records "" for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA",0,/,0.000105,search,indef,Sing,3,conc,53,NN,full,27,"on November 8th , 1982",on,November,0.000115,def,Sing,3,/,4,NNP,proper,18,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1374,1374,1375,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,45,"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA.""","for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA",V,pertains,pertain,VBZ,Fin,Pres,Simple,Act,2,1.15e-6,Fin,/,/,/,/,that,/,/,that,0.0105,indef,/,3,/,wh,1,WDT,35,/,0,/,/,/,/,/,/,/,/,/,/,/,in any way,in,way,0.000977,indef,Sing,3,loc,4,NN,full,38,"to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA",", or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA",41,48,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1375,1375,1376,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,45,"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA.""","concerning his activities after February 28th , 1971 , when he retired from the CIA",V,concerning,concern,VBG,Ger,Tenseless,Prog,Act,3,2.95e-5,Nonfin,/,/,/,/,", or the various allegations",/,/,allegations,9.55E-06,def,Plur,3,nonconc,full,8,NNS,48,"his activities after February 28th , 1971 , when he retired from the CIA",0,/,7.94E-05,activities,indef,Plur,3,conc,18,NNS,full,51,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1376,1376,1377,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,45,"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA.""",when he retired from the CIA,V,retired,retire,VBD,Fin,Past,Simple,Act,2.333333333,2.45e-5,Fin,/,/,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,59,/,0,/,/,/,/,/,/,/,/,/,/,/,from the CIA,from,CIA,1.29E-05,def,Sing,3,/,5,NNP,proper,63,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,1377,1378,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,46,"The Briggs Declaration states that with one exception in 1972, Wilson did not work ""directly or indirectly"" for the CIA since retiring.","The Briggs Declaration states that with one exception in 1972 , Wilson did not work "" directly or indirectly "" for the CIA since retiring .",V,states,state,VBZ,Fin,Pres,Simple,Act,1,3.24e-4,Fin,/,/,/,/,The Briggs Declaration,/,/,Declaration,1.70E-05,def,Sing,3,/,proper,6,NNP,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,1378,1379,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,46,"The Briggs Declaration states that with one exception in 1972, Wilson did not work ""directly or indirectly"" for the CIA since retiring.","that with one exception in 1972 , Wilson did not work "" directly or indirectly "" for the CIA since retiring",V,work,work,VB,Inf,Past,Simple,Act,1,8.91e-4,Fin,/,/,did,/,Wilson,/,/,Wilson,3.16E-05,def,Sing,3,/,proper,2,NNP,12,/,0,/,/,/,/,/,/,/,/,/,/,/,with one exception in 1972,with,exception,2.75E-05,indef,Sing,3,nonconc,7,NN,full,8,for the CIA,/,23,/,NA,/,/,23,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379,1379,1380,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,46,"The Briggs Declaration states that with one exception in 1972, Wilson did not work ""directly or indirectly"" for the CIA since retiring.",since retiring,V,retiring,retire,VBG,Ger,Tenseless,Prog,Act,3.333333333,5.75e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380,1380,1381,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,48,"Last week, Federal District Judge Lynn Hughes in Huston, Texas, threw out Wilson's two-decades old conviction.","Last week , Federal District Judge Lynn Hughes in Huston , Texas , threw out Wilson 's two - decades old conviction .",V,threw out,throw out,VBD,Fin,Past,Simple,Act,1,2.98e-5,Fin,/,/,/,/,"Federal District Judge Lynn Hughes in Huston , Texas",/,/,Judge,8.51E-05,def,Sing,3,/,proper,15,NNP,6,Wilson 's two - decades old conviction,0,/,1.62E-05,conviction,indef,Sing,3,nonconc,10,NN,full,22,Last week,/,week,0.000324,indef,Sing,3,nonconc,2,NN,full,2,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1381,1381,1382,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,49,"Judge Hughes wrote: `government knowingly used false evidence against him,' concluding `honesty comes hard to government.'","Judge Hughes wrote : ` government knowingly used false evidence against him , ' concluding ` honesty comes hard to government . '",V,wrote,write,VBD,Fin,Past,Simple,Act,1,1.15e-4,Fin,/,/,/,/,Judge Hughes,/,/,Judge,8.51E-05,def,Sing,3,/,proper,2,NNP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,1382,1383,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,49,"Judge Hughes wrote: `government knowingly used false evidence against him,' concluding `honesty comes hard to government.'",government knowingly used false evidence against him,V,used,use,VBD,Fin,Past,Simple,Act,1,6.61e-4,Fin,/,/,/,/,government,/,/,government,0.000479,indef,Sing,3,org,full,3,NN,6,false evidence,0,/,0.000162,evidence,indef,Sing,3,nonconc,4,NN,full,10,against him,against,him,0.00126,def,Sing,3,human,3,PRP,pron,12,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1383,1383,1384,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,49,"Judge Hughes wrote: `government knowingly used false evidence against him,' concluding `honesty comes hard to government.'",concluding ` honesty comes hard to government,V,concluding,conclude,VBG,Ger,Tenseless,Prog,Act,3,4.17e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,1384,1385,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,49,"Judge Hughes wrote: `government knowingly used false evidence against him,' concluding `honesty comes hard to government.'",honesty comes hard to government,V,comes,come,VBZ,Fin,Pres,Simple,Act,1,2.04e-4,Fin,/,/,/,/,honesty,/,/,honesty,9.33E-06,indef,Sing,3,conc,full,3,NN,17,/,0,/,/,/,/,/,/,/,/,/,/,/,to government,to,government,0.000479,indef,Sing,3,org,4,NN,full,21,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,1385,1386,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,52,looks like it is rearing its head again in Louisianna..,looks like it is rearing its head again in Louisianna ..,V,looks,look,VBZ,Fin,Pres,Simple,Act,1,2e-4,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,1386,1387,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,52,looks like it is rearing its head again in Louisianna..,like it is rearing its head again in Louisianna,V,rearing,rear,VBG,Part,Pres,Simple,Act,2,1.66e-6,Fin,/,/,is,/,it,/,/,it,0.00912,def,Sing,3,nonconc,pron,1,PRP,3,its head,0,/,0.000331,head,indef,Sing,3,human,2,NN,full,7,in Louisianna,in,Louisianna,0,def,Sing,3,/,4,NNP,proper,10,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,1387,1388,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,53,"Former Pastor, Deputy Implicated In Church Child Sex Abuse","Former Pastor , Deputy Implicated In Church Child Sex Abuse",V,Implicated,implicate,VBN,Part,Tenseless,Simple,Pass,4,3.24e-6,Fin,/,/,/,/,"Former Pastor , Deputy",/,/,Pastor,1.07E-05,indef,Sing,3,human,full,7,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,In Church Child Sex Abuse,In,Abuse,4.47E-05,indef,Sing,3,nonconc,6,NN,full,10,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,1388,1389,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,55,"Sheriff's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula, La., church.","Sheriff 's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula , La. , church .",V,made,make,VBD,Fin,Past,Simple,Act,1,8.32e-4,Fin,/,/,/,/,Sheriff 's deputies in Louisiana,/,/,deputies,7.41E-06,indef,Plur,3,human,full,12,NNS,3,a third arrest,0,/,3.72E-05,arrest,indef,Sing,3,nonconc,4,NN,full,9,Wednesday,/,Wednesday,3.55E-05,def,Sing,3,/,2,NNP,proper,10,"in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula , La. , church",/,14,/,NA,/,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,1389,1390,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,55,"Sheriff's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula, La., church.","involving allegations of sexual abuse of children and animals at a Ponchatoula , La. , church",V,involving,involve,VBG,Ger,Tenseless,Prog,Act,3,3.39e-5,Nonfin,/,/,/,/,of a case,/,/,case,0.000398,indef,Sing,3,human,full,3,NN,17,allegations of sexual abuse of children and animals,0,/,9.55E-06,allegations,indef,Plur,3,nonconc,17,NNS,full,19,"at a Ponchatoula , La. , church",at,church,0.00017,indef,Sing,3,org,8,NN,full,33,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,1390,1391,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,56,"Austin Aaron Bernard III, 36, was arrested on a charge of aggravated rape of a child under the age of 13.","Austin Aaron Bernard III , 36 , was arrested on a charge of aggravated rape of a child under the age of 13 .",V,arrested,arrest,VBN,Part,Past,Simple,Pass,3,4.07e-5,Fin,/,/,was,be,"Austin Aaron Bernard III , 36",/,/,Austin,2.04E-05,def,Sing,3,/,proper,7,NNP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,on a charge of aggravated rape of a child under the age of 13,on,charge,0.000102,indef,Sing,3,human,20,NN,full,12,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
1391,1391,1392,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,56,"Austin Aaron Bernard III, 36, was arrested on a charge of aggravated rape of a child under the age of 13.",aggravated,V,aggravated,aggravate,VBN,Part,Tenseless,Simple,Pass,4,3.24e-6,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,1392,1393,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church .,V,said,say,VBD,Fin,Past,Simple,Act,1,9.12e-4,Fin,/,/,/,/,Police,/,/,Police,0.000209,indef,Plur,3,org,full,2,NNS,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Pass,Act,Act,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,1393,1394,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church,V,confessed,confess,VBD,Fin,Past,Simple,Act,2,5.62e-6,Fin,/,/,/,/,Bernard,/,/,Bernard,1.23E-05,def,Sing,3,/,proper,2,NNP,3,/,0,/,/,/,/,/,/,/,/,/,/,/,to detectives,to,detectives,4.27E-06,indef,Plur,3,human,4,NNS,full,6,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Pass,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,1394,1395,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,that he had sex with a young girl in November 2002,V,had,have,VBD,Fin,Past,Simple,Act,1,0.00219,Fin,/,/,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,8,sex,0,/,0.000148,sex,indef,Sing,3,conc,1,NN,full,10,with a young girl,with,girl,0.00024,indef,Sing,3,human,4,NN,full,14,in November 2002,/,16,/,NA,/,/,/,/,/,Act,Act,Pass,Pass,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,1395,1396,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,Bernard and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church,V,admitted,admit,VBD,Fin,Past,Simple,Act,3,2.75e-5,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Pass,Pass,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,1396,1397,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,to knowing about sexual acts involving children and a dog that occurred at Hosanna Church,V,knowing,know,VBG,Ger,Tenseless,Prog,Act,2,5.37e-5,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,about sexual acts involving children and a dog that occurred at Hosanna Church,about,acts,4.90E-05,indef,Plur,3,nonconc,22,NNS,full,24,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Pass,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1397,1397,1398,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,involving children and a dog,V,involving,involve,VBG,Ger,Tenseless,Prog,Act,3,3.39e-5,Nonfin,/,/,/,/,about sexual acts that occurred at Hosanna Church,/,/,acts,4.90E-05,indef,Plur,3,nonconc,full,14,NNS,24,children and a dog,0,/,0.000339;;0.00011,children;;dog,indef;;indef,Plur,3,human;;human,5,NNS;;NN,full;;full,26;;29,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Pass,Pass,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,1398,1399,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,57,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.,about sexual acts involving children and a dog that occurred at Hosanna Church,V,occurred,occur,VBD,Fin,Past,Simple,Act,2,4.47e-5,Fin,/,/,/,/,that,/,/,that,0.0105,indef,/,3,/,wh,1,WDT,30,/,0,/,/,/,/,/,/,/,/,/,/,/,at Hosanna Church,at,Church,0.00017,def,Sing,3,/,5,NNP,proper,34,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Pass,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,1399,1400,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,58,"Tangipahoa Parish sheriff's deputy Christopher Blair Labat, 24, was booked Tuesday on one count of aggravated rape and one count of crime against nature.","Tangipahoa Parish sheriff 's deputy Christopher Blair Labat , 24 , was booked Tuesday on one count of aggravated rape and one count of crime against nature .",V,booked,book,VBN,Part,Past,Simple,Pass,1,8.91e-6,Fin,/,/,was,be,"Tangipahoa Parish sheriff 's deputy Christopher Blair Labat , 24",/,/,Christopher,1.48E-05,def,Sing,3,/,proper,17,NNP,6,/,0,/,/,/,/,/,/,/,/,/,/,/,Tuesday,/,Tuesday,4.07E-05,def,Sing,3,/,2,NNP,proper,14,on one count of aggravated rape and one count of crime against nature,and one count of crime against nature,17,23,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Pass,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
1400,1400,1401,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,58,"Tangipahoa Parish sheriff's deputy Christopher Blair Labat, 24, was booked Tuesday on one count of aggravated rape and one count of crime against nature.",aggravated,V,aggravated,aggravate,VBN,Part,Tenseless,Simple,Pass,4,3.24e-6,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Pass,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,1401,1402,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,59,"On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.","On Monday , Louis Lamonica , 45 , the former pastor of Hosanna Church , was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff 's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago .",V,booked,book,VBN,Part,Past,Simple,Pass,1,8.91e-6,Fin,/,/,was,be,"Louis Lamonica , 45 , the former pastor of Hosanna Church",/,/,Louis,6.46E-05,def,Sing,3,/,proper,15,NNP,4,/,0,/,/,/,/,/,/,/,/,/,/,/,On Monday,On,Monday,6.17E-05,def,Sing,3,/,3,NNP,proper,2,with two counts of aggravated rape and one count of crime against nature,and one count of crime against nature,20,26,NA,/,/,/,/,/,Pass,Pass,Act,Act,Act,Act,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
1402,1402,1403,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,59,"On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.",aggravated,V,aggravated,aggravate,VBN,Part,Tenseless,Simple,Pass,4,3.24e-6,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Pass,Pass,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,1403,1404,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,59,"On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.",after he walked in to the Livingston Parish Sheriff 's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago,V,walked,walk,VBD,Fin,Past,Simple,Act,1,4.47e-5,Fin,/,/,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,32,/,0,/,/,/,/,/,/,/,/,/,/,/,in to the Livingston Parish Sheriff 's Office,in,Office,0.000234,def,Sing,3,/,13,NNP,proper,41,/,/,/,/,NA,/,/,/,/,/,Pass,Pass,Pass,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,1404,1405,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,59,"On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.",he and said he could implicate others in a situation at the church that reportedly occurred two years ago,V,said,say,VBD,Fin,Past,Simple,Act,1,9.12e-4,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Pass,Pass,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,1405,1406,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500,59,"On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.",he could implicate others in a situation at the church that reportedly occurred two years ago,V,implicate,implicate,VB,Inf,Tenseless,Simple,Act,3,6.76e-7,Fin,/,/,could,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,44,others,0,/,0.000263,others,indef,Plur,3,/,2,NNS,full,47,in a situation at the church that reportedly occurred two years ago,in,situation,0.000148,indef,Sing,3,loc,20,NN,full,50,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Pass,Pass,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
